AJUSTE PARAMETROS
GENESYS 10S UV-Vis v4.003 2L5P336007

"Barrido,""11:12am 12Jun18"""
"Nombre An lisis,""ESPEC10min"""
"Modo de medici¢n,""Absorbancia"""
"L.O. de inicio,""200.0nm"""
"L.O. final,""1100.0nm"""
"Posicionador de Muestras,""Aut. 6"""
"Velocidad de Barrido,""R pido"""
"Intervalo,""1.0nm"""
"Correcci¢n de Celdas,""Apag."""
"#ID (0=OFF),""1"""
"Auto Almacenamiento,""Apag."""


# ID,1
"L. de onda,""Abs"""
200.0,3.737
201.0,3.708
202.0,3.714
203.0,3.824
204.0,3.778
205.0,4.014
206.0,4.098
207.0,3.893
208.0,3.952
209.0,3.963
210.0,3.912
211.0,4.037
212.0,4.117
213.0,4.019
214.0,4.139
215.0,4.093
216.0,3.953
217.0,4.078
218.0,4.244
219.0,4.319
220.0,4.251
221.0,4.249
222.0,4.151
223.0,4.417
224.0,4.143
225.0,4.037
"226.0,""****"""
227.0,4.048
228.0,4.218
229.0,4.649
230.0,4.435
"231.0,""****"""
"232.0,""****"""
233.0,4.312
234.0,4.399
235.0,4.412
236.0,4.261
237.0,4.273
238.0,4.232
239.0,4.263
240.0,4.011
241.0,4.112
242.0,4.503
243.0,4.561
244.0,4.464
245.0,4.173
246.0,4.128
247.0,4.481
248.0,4.763
249.0,4.704
"250.0,""****"""
251.0,4.409
252.0,4.354
"253.0,""****"""
254.0,4.349
255.0,4.205
256.0,4.082
257.0,4.333
258.0,3.966
259.0,4.409
260.0,4.301
"261.0,""****"""
"262.0,""****"""
263.0,4.314
264.0,4.383
265.0,4.343
266.0,4.299
"267.0,""****"""
268.0,4.239
"269.0,""****"""
"270.0,""****"""
271.0,4.379
272.0,4.565
273.0,4.641
"274.0,""****"""
"275.0,""****"""
276.0,4.263
277.0,4.548
278.0,4.438
279.0,4.502
280.0,4.168
281.0,4.087
282.0,4.191
283.0,4.175
"284.0,""****"""
285.0,3.997
286.0,4.156
"287.0,""****"""
288.0,4.211
289.0,4.242
290.0,4.028
291.0,4.286
292.0,4.195
293.0,4.128
294.0,4.192
295.0,4.978
296.0,4.659
297.0,4.857
298.0,4.877
299.0,4.680
300.0,4.126
301.0,4.571
302.0,4.093
303.0,4.341
304.0,4.416
"305.0,""****"""
306.0,4.199
307.0,4.204
308.0,4.272
309.0,4.440
310.0,4.708
311.0,4.266
312.0,4.434
313.0,4.220
314.0,4.295
315.0,4.407
316.0,4.191
317.0,4.252
318.0,4.586
319.0,4.301
320.0,4.438
321.0,4.264
322.0,4.105
323.0,4.033
324.0,4.518
325.0,4.463
326.0,4.486
327.0,4.075
328.0,4.244
329.0,4.063
330.0,4.119
331.0,4.316
332.0,3.943
333.0,4.127
334.0,4.077
335.0,4.140
336.0,4.047
337.0,4.038
338.0,4.320
339.0,4.017
340.0,4.183
341.0,3.981
342.0,3.981
343.0,4.006
344.0,4.000
345.0,4.037
346.0,4.118
347.0,4.029
348.0,3.995
349.0,3.852
350.0,3.806
351.0,3.986
352.0,3.804
353.0,3.866
354.0,3.903
355.0,3.834
356.0,3.856
357.0,4.117
358.0,4.009
359.0,3.894
360.0,3.922
361.0,3.811
362.0,3.759
363.0,3.671
364.0,3.497
365.0,3.196
366.0,3.023
367.0,2.809
368.0,2.631
369.0,2.439
370.0,2.222
371.0,2.016
372.0,1.857
373.0,1.684
374.0,1.501
375.0,1.367
376.0,1.223
377.0,1.084
378.0,0.996
